===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 2.77s | SP: 30.00 | SPD L: 6.31 | DUTY L: 100 | [P]118.43 [I]27.55 [D]0.00 (Err: 23.69) 
T: 2.77s | SP: 30.00 | SPD R: 6.31 | DUTY R: 100 | [P]118.43 [I]27.50 [D]0.00 (Err: 23.69) 
T: 3.02s | SP: 30.00 | SPD L: 20.00 | DUTY L: 94 | [P]50.02 [I]48.40 [D]-10.48 (Err: 10.00) 
T: 3.02s | SP: 30.00 | SPD R: 20.00 | DUTY R: 99 | [P]50.02 [I]48.14 [D]0.00 (Err: 10.00) 
T: 3.27s | SP: 30.00 | SPD L: 32.63 | DUTY L: 69 | [P]-13.13 [I]52.11 [D]0.00 (Err: -2.63) 
T: 3.27s | SP: 30.00 | SPD R: 33.68 | DUTY R: 61 | [P]-18.39 [I]51.58 [D]-10.48 (Err: -3.68) 
T: 3.52s | SP: 30.00 | SPD L: 34.73 | DUTY L: 60 | [P]-23.65 [I]43.73 [D]0.00 (Err: -4.73) 
T: 3.52s | SP: 30.00 | SPD R: 35.78 | DUTY R: 57 | [P]-28.91 [I]42.36 [D]0.00 (Err: -5.78) 
T: 3.77s | SP: 30.00 | SPD L: 24.21 | DUTY L: 83 | [P]28.97 [I]37.21 [D]0.00 (Err: 5.79) 
T: 3.77s | SP: 30.00 | SPD R: 25.26 | DUTY R: 79 | [P]23.71 [I]34.40 [D]0.00 (Err: 4.74) 
T: 4.02s | SP: 30.00 | SPD L: 18.94 | DUTY L: 98 | [P]55.28 [I]41.22 [D]0.00 (Err: 11.06) 
T: 4.02s | SP: 30.00 | SPD R: 20.00 | DUTY R: 89 | [P]50.02 [I]37.83 [D]-10.48 (Err: 10.00) 
T: 4.28s | SP: 30.00 | SPD L: 23.15 | DUTY L: 91 | [P]34.23 [I]48.52 [D]0.00 (Err: 6.85) 
T: 4.28s | SP: 30.00 | SPD R: 22.10 | DUTY R: 92 | [P]39.49 [I]44.71 [D]0.00 (Err: 7.90) 
T: 4.53s | SP: 30.00 | SPD L: 31.57 | DUTY L: 71 | [P]-7.87 [I]49.48 [D]0.00 (Err: -1.57) 
T: 4.53s | SP: 30.00 | SPD R: 31.57 | DUTY R: 64 | [P]-7.87 [I]46.62 [D]-10.48 (Err: -1.57) 
T: 4.78s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-7.87 [I]43.38 [D]0.00 (Err: -1.57) 
T: 4.78s | SP: 30.00 | SPD R: 31.57 | DUTY R: 66 | [P]-7.87 [I]40.26 [D]0.00 (Err: -1.57) 
T: 5.03s | SP: 30.00 | SPD L: 25.26 | DUTY L: 82 | [P]23.71 [I]40.18 [D]0.00 (Err: 4.74) 
T: 5.03s | SP: 30.00 | SPD R: 27.36 | DUTY R: 74 | [P]13.18 [I]35.48 [D]0.00 (Err: 2.64) 
T: 5.28s | SP: 30.00 | SPD L: 23.15 | DUTY L: 83 | [P]34.23 [I]42.24 [D]-10.48 (Err: 6.85) 
T: 5.28s | SP: 30.00 | SPD R: 23.15 | DUTY R: 85 | [P]34.23 [I]35.62 [D]0.00 (Err: 6.85) 
T: 5.53s | SP: 30.00 | SPD L: 26.31 | DUTY L: 77 | [P]18.45 [I]45.68 [D]-10.49 (Err: 3.69) 
T: 5.53s | SP: 30.00 | SPD R: 25.26 | DUTY R: 76 | [P]23.71 [I]39.27 [D]-10.49 (Err: 4.74) 
T: 5.78s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]2.66 [I]45.19 [D]0.00 (Err: 0.53) 
T: 5.78s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]2.66 [I]39.90 [D]-10.49 (Err: 0.53) 
T: 6.04s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.11 [D]0.00 (Err: 1.58) 
T: 6.04s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-2.60 [I]36.61 [D]-10.49 (Err: -0.52) 
T: 6.29s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]40.40 [D]0.00 (Err: 3.69) 
T: 6.29s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]33.58 [D]0.00 (Err: 2.64) 
T: 6.54s | SP: 30.00 | SPD L: 24.21 | DUTY L: 85 | [P]28.97 [I]40.87 [D]0.00 (Err: 5.79) 
T: 6.54s | SP: 30.00 | SPD R: 25.26 | DUTY R: 78 | [P]23.71 [I]32.98 [D]0.00 (Err: 4.74) 
T: 6.79s | SP: 30.00 | SPD L: 26.31 | DUTY L: 76 | [P]18.45 [I]43.24 [D]-10.49 (Err: 3.69) 
T: 6.79s | SP: 30.00 | SPD R: 25.26 | DUTY R: 74 | [P]23.71 [I]35.25 [D]-10.49 (Err: 4.74) 
T: 7.04s | SP: 30.00 | SPD L: 28.42 | DUTY L: 71 | [P]7.92 [I]43.71 [D]-10.49 (Err: 1.58) 
T: 7.04s | SP: 30.00 | SPD R: 28.42 | DUTY R: 72 | [P]7.92 [I]36.51 [D]0.00 (Err: 1.58) 
T: 7.29s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.00 [D]-10.49 (Err: 0.53) 
T: 7.29s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]34.48 [D]0.00 (Err: 1.58) 
T: 7.55s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.19 [D]0.00 (Err: 2.64) 
T: 7.55s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.94 [D]0.00 (Err: 1.58) 
T: 7.80s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]18.45 [I]40.55 [D]-10.49 (Err: 3.69) 
T: 7.80s | SP: 30.00 | SPD R: 25.26 | DUTY R: 78 | [P]23.71 [I]32.29 [D]0.00 (Err: 4.74) 
T: 8.05s | SP: 30.00 | SPD L: 25.26 | DUTY L: 83 | [P]23.71 [I]41.91 [D]0.00 (Err: 4.74) 
T: 8.05s | SP: 30.00 | SPD R: 26.31 | DUTY R: 76 | [P]18.45 [I]33.81 [D]0.00 (Err: 3.69) 
T: 8.30s | SP: 30.00 | SPD L: 27.36 | DUTY L: 78 | [P]13.18 [I]43.28 [D]0.00 (Err: 2.64) 
T: 8.30s | SP: 30.00 | SPD R: 27.36 | DUTY R: 74 | [P]13.18 [I]34.60 [D]0.00 (Err: 2.64) 
T: 8.55s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.16 [D]-10.49 (Err: 0.53) 
T: 8.55s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]34.17 [D]0.00 (Err: 1.58) 
T: 8.80s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.82 [D]0.00 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.62 [D]0.00 (Err: 1.58) 
T: 9.06s | SP: 30.00 | SPD L: 26.31 | DUTY L: 80 | [P]18.45 [I]41.12 [D]0.00 (Err: 3.69) 
T: 9.06s | SP: 30.00 | SPD R: 27.36 | DUTY R: 67 | [P]13.18 [I]31.75 [D]-10.49 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.96 [D]-10.49 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD R: 26.31 | DUTY R: 70 | [P]18.45 [I]32.75 [D]-10.49 (Err: 3.69) 
T: 9.56s | SP: 30.00 | SPD L: 27.36 | DUTY L: 78 | [P]13.18 [I]42.11 [D]0.00 (Err: 2.64) 
T: 9.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]33.90 [D]-10.49 (Err: 2.64) 
T: 9.81s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.83 [D]0.00 (Err: 1.58) 
T: 9.81s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]34.10 [D]0.00 (Err: 1.58) 
T: 10.06s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.96 [D]0.00 (Err: 2.64) 
T: 10.06s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.92 [D]0.00 (Err: 1.58) 
T: 10.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.16 [D]0.00 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.22 [D]0.00 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.46 [D]-10.48 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.79 [D]0.00 (Err: 2.64) 
T: 10.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.82 [D]0.00 (Err: 1.58) 
T: 10.82s | SP: 30.00 | SPD R: 27.36 | DUTY R: 68 | [P]13.18 [I]33.04 [D]-10.49 (Err: 2.64) 
T: 11.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.96 [D]0.00 (Err: 1.58) 
T: 11.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.29 [D]0.00 (Err: 1.58) 
T: 11.32s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]40.47 [D]-10.49 (Err: 1.58) 
T: 11.32s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.16 [D]0.00 (Err: 1.58) 
T: 11.57s | SP: 30.00 | SPD L: 27.36 | DUTY L: 72 | [P]13.18 [I]41.04 [D]-10.49 (Err: 2.64) 
T: 11.57s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.09 [D]0.00 (Err: 2.64) 
T: 11.82s | SP: 30.00 | SPD L: 27.36 | DUTY L: 78 | [P]13.18 [I]41.98 [D]0.00 (Err: 2.64) 
T: 11.82s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]33.03 [D]0.00 (Err: 2.64) 
T: 12.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.07 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.12 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.42 [D]0.00 (Err: 0.53) 
T: 12.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.79 [D]0.00 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]40.56 [D]-10.49 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.14 [D]0.00 (Err: 1.58) 
T: 12.83s | SP: 30.00 | SPD L: 28.42 | DUTY L: 69 | [P]7.92 [I]40.81 [D]-10.49 (Err: 1.58) 
T: 12.83s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.07 [D]0.00 (Err: 2.64) 
T: 13.08s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.80 [D]0.00 (Err: 2.64) 
T: 13.08s | SP: 30.00 | SPD R: 28.42 | DUTY R: 65 | [P]7.92 [I]33.17 [D]-10.49 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.31 [D]-10.49 (Err: 0.53) 
T: 13.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.37 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]41.45 [D]-10.49 (Err: 0.53) 
T: 13.58s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]33.09 [D]-10.49 (Err: 0.53) 
T: 13.84s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]41.01 [D]0.00 (Err: 1.58) 
T: 13.84s | SP: 30.00 | SPD R: 29.47 | DUTY R: 62 | [P]2.66 [I]32.43 [D]-10.49 (Err: 0.53) 
T: 14.09s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]41.10 [D]0.00 (Err: 2.64) 
T: 14.09s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.05 [D]0.00 (Err: 1.58) 
T: 14.34s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]7.92 [I]41.83 [D]-10.49 (Err: 1.58) 
T: 14.34s | SP: 30.00 | SPD R: 27.36 | DUTY R: 73 | [P]13.18 [I]32.35 [D]0.00 (Err: 2.64) 
T: 14.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.34 [D]0.00 (Err: 1.58) 
T: 14.59s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]7.92 [I]33.34 [D]0.00 (Err: 1.58) 
T: 14.84s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.32 [D]-10.49 (Err: 0.53) 
T: 14.84s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]2.66 [I]33.80 [D]-10.49 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]41.99 [D]-10.49 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD R: 30.52 | DUTY R: 65 | [P]-2.60 [I]32.88 [D]0.00 (Err: -0.52) 
T: 15.35s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]41.55 [D]-10.49 (Err: 0.53) 
T: 15.35s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.07 [D]0.00 (Err: 1.58) 
T: 15.60s | SP: 30.00 | SPD L: 28.42 | DUTY L: 70 | [P]7.92 [I]41.74 [D]-10.49 (Err: 1.58) 
T: 15.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 62 | [P]2.66 [I]32.10 [D]-10.49 (Err: 0.53) 
T: 15.85s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]42.26 [D]0.00 (Err: 1.58) 
T: 15.85s | SP: 30.00 | SPD R: 28.42 | DUTY R: 65 | [P]7.92 [I]32.46 [D]-10.49 (Err: 1.58) 
T: 16.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.50 [D]-10.49 (Err: 0.53) 
T: 16.10s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]32.86 [D]0.00 (Err: 0.53) 
T: 16.35s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]42.27 [D]0.00 (Err: 0.53) 
T: 16.35s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.16 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.88 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.08 [D]0.00 (Err: 1.58) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.55 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 62 | [P]2.66 [I]32.54 [D]-10.49 (Err: 0.53) 
T: 17.11s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.79 [D]0.00 (Err: 1.58) 
T: 17.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]32.42 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]42.25 [D]-10.49 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.24 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]42.13 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.01 [D]0.00 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]2.66 [I]42.38 [D]0.00 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.10 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]42.14 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]31.92 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.91 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.33 [D]0.00 (Err: 1.58) 
T: 18.62s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.68 [D]0.00 (Err: 0.53) 
T: 18.62s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]32.94 [D]0.00 (Err: 0.53) 
T: 18.87s | SP: 30.00 | SPD L: 29.47 | DUTY L: 67 | [P]2.66 [I]41.92 [D]-10.48 (Err: 0.53) 
