===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 4.40s | SP: 30.00 | SPD R: 25.26 | DUTY R: 72 | [P]9.48 [I]21.72 [D]0.00 (Err: 4.74) 
T: 4.60s | SP: 30.00 | SPD L: 26.31 | DUTY L: 72 | [P]7.38 [I]24.99 [D]-2.10 (Err: 3.69) 
T: 4.60s | SP: 30.00 | SPD R: 27.36 | DUTY R: 69 | [P]5.27 [I]22.25 [D]-4.20 (Err: 2.64) 
T: 4.80s | SP: 30.00 | SPD L: 30.52 | DUTY L: 66 | [P]-1.04 [I]24.88 [D]-8.41 (Err: -0.52) 
T: 4.80s | SP: 30.00 | SPD R: 32.63 | DUTY R: 62 | [P]-5.25 [I]21.72 [D]-10.51 (Err: -2.63) 
T: 5.00s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]24.78 [D]0.00 (Err: -0.52) 
T: 5.00s | SP: 30.00 | SPD R: 32.63 | DUTY R: 66 | [P]-5.25 [I]21.20 [D]0.00 (Err: -2.63) 
T: 5.20s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]25.10 [D]4.20 (Err: 1.58) 
T: 5.20s | SP: 30.00 | SPD R: 31.57 | DUTY R: 68 | [P]-3.15 [I]20.88 [D]2.10 (Err: -1.57) 
T: 5.40s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]5.27 [I]25.62 [D]2.10 (Err: 2.64) 
T: 5.40s | SP: 30.00 | SPD R: 30.52 | DUTY R: 69 | [P]-1.04 [I]20.78 [D]2.10 (Err: -0.52) 
T: 5.60s | SP: 30.00 | SPD L: 27.36 | DUTY L: 73 | [P]5.27 [I]26.15 [D]0.00 (Err: 2.64) 
T: 5.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]20.88 [D]2.10 (Err: 0.53) 
T: 5.80s | SP: 30.00 | SPD L: 26.31 | DUTY L: 75 | [P]7.38 [I]26.89 [D]2.10 (Err: 3.69) 
T: 5.80s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]3.17 [I]21.20 [D]2.10 (Err: 1.58) 
T: 6.00s | SP: 30.00 | SPD L: 26.31 | DUTY L: 74 | [P]7.38 [I]27.63 [D]0.00 (Err: 3.69) 
T: 6.00s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]3.17 [I]21.52 [D]0.00 (Err: 1.58) 
T: 6.20s | SP: 30.00 | SPD L: 29.47 | DUTY L: 69 | [P]1.06 [I]27.74 [D]-6.31 (Err: 0.53) 
T: 6.20s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]1.06 [I]21.62 [D]-2.10 (Err: 0.53) 
T: 6.40s | SP: 30.00 | SPD L: 30.52 | DUTY L: 70 | [P]-1.04 [I]27.63 [D]-2.10 (Err: -0.52) 
T: 6.40s | SP: 30.00 | SPD R: 30.52 | DUTY R: 67 | [P]-1.04 [I]21.52 [D]-2.10 (Err: -0.52) 
T: 6.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]1.06 [I]27.74 [D]2.10 (Err: 0.53) 
T: 6.60s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.42 [D]0.00 (Err: -0.52) 
T: 6.80s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]28.05 [D]2.10 (Err: 1.58) 
T: 6.80s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.31 [D]0.00 (Err: -0.52) 
T: 6.99s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]28.37 [D]0.00 (Err: 1.58) 
T: 6.99s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.21 [D]0.00 (Err: -0.52) 
T: 7.19s | SP: 30.00 | SPD L: 27.36 | DUTY L: 75 | [P]5.27 [I]28.90 [D]2.10 (Err: 2.64) 
T: 7.19s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.10 [D]0.00 (Err: -0.52) 
T: 7.39s | SP: 30.00 | SPD L: 27.36 | DUTY L: 74 | [P]5.27 [I]29.43 [D]0.00 (Err: 2.64) 
T: 7.39s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]21.21 [D]2.10 (Err: 0.53) 
T: 7.59s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]1.06 [I]29.53 [D]-4.20 (Err: 0.53) 
T: 7.59s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.32 [D]0.00 (Err: 0.53) 
T: 7.79s | SP: 30.00 | SPD L: 30.52 | DUTY L: 71 | [P]-1.04 [I]29.43 [D]-2.10 (Err: -0.52) 
T: 7.79s | SP: 30.00 | SPD R: 30.52 | DUTY R: 67 | [P]-1.04 [I]21.21 [D]-2.10 (Err: -0.52) 
T: 7.99s | SP: 30.00 | SPD L: 30.52 | DUTY L: 71 | [P]-1.04 [I]29.33 [D]0.00 (Err: -0.52) 
T: 7.99s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.11 [D]0.00 (Err: -0.52) 
T: 8.19s | SP: 30.00 | SPD L: 30.52 | DUTY L: 71 | [P]-1.04 [I]29.22 [D]0.00 (Err: -0.52) 
T: 8.19s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.00 [D]0.00 (Err: -0.52) 
T: 8.39s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]29.33 [D]2.10 (Err: 0.53) 
T: 8.39s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]20.90 [D]0.00 (Err: -0.52) 
T: 8.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]3.17 [I]29.65 [D]2.10 (Err: 1.58) 
T: 8.59s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]20.79 [D]0.00 (Err: -0.52) 
T: 8.79s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]29.96 [D]0.00 (Err: 1.58) 
T: 8.79s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]20.90 [D]2.10 (Err: 0.53) 
T: 8.99s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]3.17 [I]30.28 [D]0.00 (Err: 1.58) 
T: 8.99s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.01 [D]0.00 (Err: 0.53) 
T: 9.19s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]3.17 [I]30.60 [D]0.00 (Err: 1.58) 
T: 9.19s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.11 [D]0.00 (Err: 0.53) 
T: 9.39s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]1.06 [I]30.70 [D]-2.10 (Err: 0.53) 
T: 9.39s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.22 [D]0.00 (Err: 0.53) 
T: 9.59s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]30.81 [D]0.00 (Err: 0.53) 
T: 9.59s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.33 [D]0.00 (Err: 0.53) 
T: 9.79s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]30.92 [D]0.00 (Err: 0.53) 
T: 9.79s | SP: 30.00 | SPD R: 30.52 | DUTY R: 67 | [P]-1.04 [I]21.22 [D]-2.10 (Err: -0.52) 
T: 9.99s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.02 [D]0.00 (Err: 0.53) 
T: 9.99s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.12 [D]0.00 (Err: -0.52) 
T: 10.20s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.13 [D]0.00 (Err: 0.53) 
T: 10.20s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.01 [D]0.00 (Err: -0.52) 
T: 10.40s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.24 [D]0.00 (Err: 0.53) 
T: 10.40s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]20.91 [D]0.00 (Err: -0.52) 
T: 10.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.34 [D]0.00 (Err: 0.53) 
T: 10.60s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]20.81 [D]0.00 (Err: -0.52) 
T: 10.80s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.45 [D]0.00 (Err: 0.53) 
T: 10.80s | SP: 30.00 | SPD R: 28.42 | DUTY R: 71 | [P]3.17 [I]21.12 [D]4.20 (Err: 1.58) 
T: 11.00s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.56 [D]0.00 (Err: 0.53) 
T: 11.00s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]3.17 [I]21.44 [D]0.00 (Err: 1.58) 
T: 11.20s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.66 [D]0.00 (Err: 0.53) 
T: 11.20s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]1.06 [I]21.55 [D]-2.10 (Err: 0.53) 
T: 11.40s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.77 [D]0.00 (Err: 0.53) 
T: 11.40s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.65 [D]0.00 (Err: 0.53) 
T: 11.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.88 [D]0.00 (Err: 0.53) 
T: 11.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.76 [D]0.00 (Err: 0.53) 
T: 11.80s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]31.98 [D]0.00 (Err: 0.53) 
T: 11.80s | SP: 30.00 | SPD R: 30.52 | DUTY R: 67 | [P]-1.04 [I]21.66 [D]-2.10 (Err: -0.52) 
T: 12.00s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.09 [D]0.00 (Err: 0.53) 
T: 12.00s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]21.55 [D]0.00 (Err: -0.52) 
T: 12.20s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.20 [D]0.00 (Err: 0.53) 
T: 12.20s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]21.66 [D]2.10 (Err: 0.53) 
T: 12.40s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.30 [D]0.00 (Err: 0.53) 
T: 12.40s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.76 [D]0.00 (Err: 0.53) 
T: 12.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.41 [D]0.00 (Err: 0.53) 
T: 12.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.87 [D]0.00 (Err: 0.53) 
T: 12.80s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.51 [D]0.00 (Err: 0.53) 
T: 12.80s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]21.98 [D]0.00 (Err: 0.53) 
T: 13.00s | SP: 30.00 | SPD L: 29.47 | DUTY L: 73 | [P]1.06 [I]32.62 [D]0.00 (Err: 0.53) 
T: 13.00s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.08 [D]0.00 (Err: 0.53) 
T: 13.20s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]32.73 [D]0.00 (Err: 0.53) 
T: 13.20s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.19 [D]0.00 (Err: 0.53) 
T: 13.40s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]32.83 [D]0.00 (Err: 0.53) 
T: 13.40s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.30 [D]0.00 (Err: 0.53) 
T: 13.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]32.94 [D]0.00 (Err: 0.53) 
