===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.25s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.50s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 0.75s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 1.76s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.01s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-5.26 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.01s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.26s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-5.26 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.26s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 2.51s | SP: 0.00 | SPD L: 1.05 | DUTY L: 0 | [P]-5.26 [I]0.00 [D]0.00 (Err: -1.05) 
T: 2.51s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 30 
T: 2.77s | SP: 30.00 | SPD L: 2.10 | DUTY L: 100 | [P]139.48 [I]17.10 [D]0.00 (Err: 27.90) 
T: 2.77s | SP: 30.00 | SPD R: 2.10 | DUTY R: 100 | [P]139.48 [I]17.68 [D]0.00 (Err: 27.90) 
T: 3.02s | SP: 30.00 | SPD L: 14.73 | DUTY L: 100 | [P]76.33 [I]43.82 [D]0.00 (Err: 15.27) 
T: 3.02s | SP: 30.00 | SPD R: 14.73 | DUTY R: 100 | [P]76.33 [I]44.77 [D]0.00 (Err: 15.27) 
T: 3.27s | SP: 30.00 | SPD L: 28.42 | DUTY L: 81 | [P]7.92 [I]53.62 [D]0.00 (Err: 1.58) 
T: 3.27s | SP: 30.00 | SPD R: 29.47 | DUTY R: 78 | [P]2.66 [I]54.52 [D]-1.05 (Err: 0.53) 
T: 3.52s | SP: 30.00 | SPD L: 36.84 | DUTY L: 57 | [P]-34.18 [I]48.11 [D]0.00 (Err: -6.84) 
T: 3.52s | SP: 30.00 | SPD R: 37.89 | DUTY R: 54 | [P]-39.44 [I]48.42 [D]0.00 (Err: -7.89) 
T: 3.77s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]7.92 [I]38.77 [D]0.00 (Err: 1.58) 
T: 3.77s | SP: 30.00 | SPD R: 30.52 | DUTY R: 67 | [P]-2.60 [I]36.77 [D]0.00 (Err: -0.52) 
T: 4.02s | SP: 30.00 | SPD L: 21.05 | DUTY L: 92 | [P]44.76 [I]38.60 [D]0.00 (Err: 8.95) 
T: 4.02s | SP: 30.00 | SPD R: 22.10 | DUTY R: 87 | [P]39.49 [I]34.84 [D]-1.05 (Err: 7.90) 
T: 4.28s | SP: 30.00 | SPD L: 21.05 | DUTY L: 95 | [P]44.76 [I]44.58 [D]0.00 (Err: 8.95) 
T: 4.28s | SP: 30.00 | SPD R: 21.05 | DUTY R: 93 | [P]44.76 [I]40.45 [D]0.00 (Err: 8.95) 
T: 4.53s | SP: 30.00 | SPD L: 28.42 | DUTY L: 78 | [P]7.92 [I]48.39 [D]0.00 (Err: 1.58) 
T: 4.53s | SP: 30.00 | SPD R: 28.42 | DUTY R: 75 | [P]7.92 [I]44.05 [D]-1.05 (Err: 1.58) 
T: 4.78s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-7.87 [I]44.35 [D]0.00 (Err: -1.57) 
T: 4.78s | SP: 30.00 | SPD R: 32.63 | DUTY R: 64 | [P]-13.13 [I]40.39 [D]0.00 (Err: -2.63) 
T: 5.03s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.16 [D]-1.05 (Err: 1.58) 
T: 5.03s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]34.29 [D]0.00 (Err: 0.53) 
T: 5.28s | SP: 30.00 | SPD L: 24.21 | DUTY L: 84 | [P]28.97 [I]39.77 [D]0.00 (Err: 5.79) 
T: 5.28s | SP: 30.00 | SPD R: 25.26 | DUTY R: 78 | [P]23.71 [I]32.53 [D]-1.05 (Err: 4.74) 
T: 5.53s | SP: 30.00 | SPD L: 24.21 | DUTY L: 86 | [P]28.97 [I]42.68 [D]0.00 (Err: 5.79) 
T: 5.53s | SP: 30.00 | SPD R: 24.21 | DUTY R: 81 | [P]28.97 [I]34.79 [D]-1.05 (Err: 5.79) 
T: 5.78s | SP: 30.00 | SPD L: 28.42 | DUTY L: 76 | [P]7.92 [I]43.89 [D]0.00 (Err: 1.58) 
T: 5.78s | SP: 30.00 | SPD R: 26.31 | DUTY R: 78 | [P]18.45 [I]37.17 [D]0.00 (Err: 3.69) 
T: 6.04s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.50 [D]0.00 (Err: 0.53) 
T: 6.04s | SP: 30.00 | SPD R: 30.52 | DUTY R: 66 | [P]-2.60 [I]35.73 [D]-1.05 (Err: -0.52) 
T: 6.29s | SP: 30.00 | SPD L: 27.36 | DUTY L: 76 | [P]13.18 [I]39.16 [D]0.00 (Err: 2.64) 
T: 6.29s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.12 [D]0.00 (Err: 1.58) 
T: 6.54s | SP: 30.00 | SPD L: 25.26 | DUTY L: 81 | [P]23.71 [I]39.41 [D]-1.05 (Err: 4.74) 
T: 6.54s | SP: 30.00 | SPD R: 26.31 | DUTY R: 75 | [P]18.45 [I]31.15 [D]0.00 (Err: 3.69) 
T: 6.79s | SP: 30.00 | SPD L: 26.31 | DUTY L: 80 | [P]18.45 [I]41.62 [D]-1.05 (Err: 3.69) 
T: 6.79s | SP: 30.00 | SPD R: 25.26 | DUTY R: 77 | [P]23.71 [I]32.25 [D]-1.05 (Err: 4.74) 
T: 7.04s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]41.98 [D]-1.05 (Err: 1.58) 
T: 7.04s | SP: 30.00 | SPD R: 27.36 | DUTY R: 74 | [P]13.18 [I]34.15 [D]0.00 (Err: 2.64) 
T: 7.29s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]40.44 [D]-1.05 (Err: 0.53) 
T: 7.29s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]33.03 [D]-1.05 (Err: 0.53) 
T: 7.55s | SP: 30.00 | SPD L: 27.36 | DUTY L: 75 | [P]13.18 [I]38.84 [D]-1.05 (Err: 2.64) 
T: 7.55s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.79 [D]0.00 (Err: 1.58) 
T: 7.80s | SP: 30.00 | SPD L: 26.31 | DUTY L: 78 | [P]18.45 [I]39.35 [D]-1.05 (Err: 3.69) 
T: 7.80s | SP: 30.00 | SPD R: 27.36 | DUTY R: 71 | [P]13.18 [I]29.67 [D]-1.05 (Err: 2.64) 
T: 8.05s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]40.30 [D]0.00 (Err: 3.69) 
T: 8.05s | SP: 30.00 | SPD R: 26.31 | DUTY R: 74 | [P]18.45 [I]30.18 [D]-1.05 (Err: 3.69) 
T: 8.30s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.92 [D]0.00 (Err: 2.64) 
T: 8.30s | SP: 30.00 | SPD R: 26.31 | DUTY R: 75 | [P]18.45 [I]31.81 [D]0.00 (Err: 3.69) 
T: 8.55s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.49 [D]0.00 (Err: 1.58) 
T: 8.55s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.80 [D]0.00 (Err: 1.58) 
T: 8.80s | SP: 30.00 | SPD L: 27.36 | DUTY L: 76 | [P]13.18 [I]39.36 [D]0.00 (Err: 2.64) 
T: 8.80s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.41 [D]0.00 (Err: 1.58) 
T: 9.05s | SP: 30.00 | SPD L: 27.36 | DUTY L: 76 | [P]13.18 [I]39.56 [D]0.00 (Err: 2.64) 
T: 9.05s | SP: 30.00 | SPD R: 27.36 | DUTY R: 71 | [P]13.18 [I]29.87 [D]-1.05 (Err: 2.64) 
T: 9.31s | SP: 30.00 | SPD L: 26.31 | DUTY L: 79 | [P]18.45 [I]39.81 [D]0.00 (Err: 3.69) 
T: 9.31s | SP: 30.00 | SPD R: 26.31 | DUTY R: 75 | [P]18.45 [I]30.76 [D]0.00 (Err: 3.69) 
T: 9.56s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.33 [D]-1.05 (Err: 1.58) 
T: 9.56s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]31.60 [D]-1.05 (Err: 1.58) 
T: 9.81s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]7.92 [I]39.47 [D]-1.05 (Err: 1.58) 
T: 9.81s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.68 [D]0.00 (Err: 1.58) 
T: 10.06s | SP: 30.00 | SPD L: 27.36 | DUTY L: 76 | [P]13.18 [I]39.62 [D]-1.05 (Err: 2.64) 
T: 10.06s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.46 [D]-1.05 (Err: 1.58) 
T: 10.31s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.34 [D]0.00 (Err: 2.64) 
T: 10.31s | SP: 30.00 | SPD R: 27.36 | DUTY R: 71 | [P]13.18 [I]30.60 [D]-1.05 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.38 [D]0.00 (Err: 2.64) 
T: 10.56s | SP: 30.00 | SPD R: 27.36 | DUTY R: 72 | [P]13.18 [I]31.17 [D]0.00 (Err: 2.64) 
T: 10.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.16 [D]-1.05 (Err: 1.58) 
T: 10.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]31.26 [D]-1.05 (Err: 1.58) 
T: 11.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 73 | [P]7.92 [I]39.83 [D]-1.05 (Err: 1.58) 
T: 11.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.93 [D]-1.05 (Err: 1.58) 
T: 11.32s | SP: 30.00 | SPD L: 27.36 | DUTY L: 76 | [P]13.18 [I]39.87 [D]-1.05 (Err: 2.64) 
T: 11.32s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]30.50 [D]-1.05 (Err: 1.58) 
T: 11.57s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.91 [D]0.00 (Err: 2.64) 
T: 11.57s | SP: 30.00 | SPD R: 27.36 | DUTY R: 72 | [P]13.18 [I]31.06 [D]0.00 (Err: 2.64) 
T: 11.82s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]41.11 [D]-1.05 (Err: 1.58) 
T: 11.82s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]31.90 [D]-1.05 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.94 [D]0.00 (Err: 1.58) 
T: 12.07s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.99 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.55 [D]0.00 (Err: 1.58) 
T: 12.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.55 [D]0.00 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.12 [D]0.00 (Err: 1.58) 
T: 12.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]31.06 [D]0.00 (Err: 1.58) 
T: 12.83s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.26 [D]0.00 (Err: 2.64) 
T: 12.83s | SP: 30.00 | SPD R: 27.36 | DUTY R: 72 | [P]13.18 [I]31.10 [D]0.00 (Err: 2.64) 
T: 13.08s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]41.25 [D]-1.05 (Err: 1.58) 
T: 13.08s | SP: 30.00 | SPD R: 28.42 | DUTY R: 69 | [P]7.92 [I]32.03 [D]-1.05 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.50 [D]0.00 (Err: 1.58) 
T: 13.33s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.39 [D]0.00 (Err: 1.58) 
T: 13.58s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]41.17 [D]-1.05 (Err: 0.53) 
T: 13.58s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.16 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.73 [D]0.00 (Err: 1.58) 
T: 13.83s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.62 [D]0.00 (Err: 1.58) 
T: 14.09s | SP: 30.00 | SPD L: 27.36 | DUTY L: 77 | [P]13.18 [I]40.76 [D]0.00 (Err: 2.64) 
T: 14.09s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]2.66 [I]31.02 [D]-1.05 (Err: 0.53) 
T: 14.34s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.17 [D]0.00 (Err: 1.58) 
T: 14.34s | SP: 30.00 | SPD R: 27.36 | DUTY R: 72 | [P]13.18 [I]31.11 [D]0.00 (Err: 2.64) 
T: 14.59s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.11 [D]0.00 (Err: 1.58) 
T: 14.59s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.78 [D]0.00 (Err: 1.58) 
T: 14.84s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]41.19 [D]-1.05 (Err: 0.53) 
T: 14.84s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.29 [D]0.00 (Err: 1.58) 
T: 15.09s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]40.96 [D]-1.05 (Err: 0.53) 
T: 15.09s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.17 [D]-1.05 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]40.63 [D]-1.05 (Err: 0.53) 
T: 15.34s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]31.73 [D]-1.05 (Err: 0.53) 
T: 15.60s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]40.77 [D]-1.05 (Err: 1.58) 
T: 15.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 66 | [P]2.66 [I]31.29 [D]-1.05 (Err: 0.53) 
T: 15.85s | SP: 30.00 | SPD L: 28.42 | DUTY L: 75 | [P]7.92 [I]41.34 [D]0.00 (Err: 1.58) 
T: 15.85s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.48 [D]0.00 (Err: 1.58) 
T: 16.10s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]41.22 [D]-1.05 (Err: 0.53) 
T: 16.10s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]32.00 [D]0.00 (Err: 1.58) 
T: 16.35s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.36 [D]0.00 (Err: 0.53) 
T: 16.35s | SP: 30.00 | SPD R: 29.47 | DUTY R: 68 | [P]2.66 [I]32.35 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.13 [D]0.00 (Err: 0.53) 
T: 16.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.12 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]40.74 [D]0.00 (Err: 0.53) 
T: 16.85s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]31.79 [D]0.00 (Err: 0.53) 
T: 17.11s | SP: 30.00 | SPD L: 28.42 | DUTY L: 74 | [P]7.92 [I]41.04 [D]0.00 (Err: 1.58) 
T: 17.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]31.35 [D]0.00 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.44 [D]-1.05 (Err: 0.53) 
T: 17.36s | SP: 30.00 | SPD R: 28.42 | DUTY R: 70 | [P]7.92 [I]31.54 [D]0.00 (Err: 1.58) 
T: 17.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.32 [D]0.00 (Err: 0.53) 
T: 17.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.16 [D]-1.05 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.09 [D]0.00 (Err: 0.53) 
T: 17.86s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.19 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]40.97 [D]0.00 (Err: 0.53) 
T: 18.11s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.28 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]40.79 [D]0.00 (Err: 0.53) 
T: 18.36s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]32.05 [D]0.00 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD L: 29.47 | DUTY L: 71 | [P]2.66 [I]41.03 [D]-1.05 (Err: 0.53) 
T: 18.61s | SP: 30.00 | SPD R: 29.47 | DUTY R: 67 | [P]2.66 [I]31.66 [D]0.00 (Err: 0.53) 
T: 18.87s | SP: 30.00 | SPD L: 29.47 | DUTY L: 72 | [P]2.66 [I]41.54 [D]0.00 (Err: 0.53) 
